Teams,odds
15:00,1X2
"International - Olympic Tournament, Group B",
ArgentinaMorocco,1.903.504.20
"International - Olympic Tournament, Group C",
UzbekistanSpain,11.006.501.25
17:00,1X2
"International - Olympic Tournament, Group C",
EgyptDominican Republic,1.207.5012.00
"International - Olympic Tournament, Group A",
GuineaNew Zealand,1.643.805.70
International Clubs - Uefa Europa Conference League,
FC Struga Trim LumFC Pyunik Yerevan,2.203.202.92
18:00,1X2
International Clubs - Uefa Europa Conference League,
Riga FCWKS Slask Wroclaw,2.393.202.60
19:00,1X2
"International - Olympic Tournament, Group B",
IraqUkraine,5.203.851.67
"International - Olympic Tournament, Group D",
JapanParaguay,1.843.754.20
International Clubs - Uefa Europa Conference League,
FC Dinamo BatumiFK Decic Tuzi,1.384.306.70
"International Clubs - UEFA Champions League, Qualification",
PAOK ThessalonikiFK Borac Banja Luka,1.0810.5031.00
20:00,1X2
International Clubs - Uefa Europa Conference League,
AEK AthensInter Club de Escaldes,1.039.2031.00
"International Clubs - UEFA Champions League, Qualification",
PFC Ludogorets 1945 RazgradFC Dinamo Minsk,1.345.208.40
"International Clubs - UEFA Champions League, Qualification",
NK CeljeSK Slovan Bratislava,2.353.453.00
International Clubs - Uefa Europa Conference League,
Cliftonville FCFK Auda Riga,2.823.302.22
21:00,1X2
"International - Olympic Tournament, Group A",
FranceUSA,1.444.906.70
"International - Olympic Tournament, Group D",
MaliIsrael,2.323.353.10
09:00,1X2
International Clubs - Club Friendly Games,
CD LeganesAD Alcorcon,1.553.904.90
10:00,1X2
Simulated Reality League - Summer Srl Friendlies,
Bayer 04 Leverkusen SRLAston Villa SRL,2.103.352.95
Simulated Reality League - Summer Srl Friendlies,
Lille OSC SRLFC Augsburg SRL,1.633.654.50
Simulated Reality League - Summer Srl Friendlies,
MKS Pogon Szczecin SRLHNK Rijeka SRL,2.452.952.75
