Teams,Odd1,Odd2,Odd3,Stake 1,Stake 2,Stake 3,Total Payout,Profit
Kuopion PalloseuraTromsoe IL,2.82,3.4,2.17,31.959593509317582,26.507662851845758,41.53274363883667,90.12605369627558,-9.873946303724424
FC Iberia 1999Partizani Tirana,2.35,3.3,2.62,38.32786594556256,27.294086355173334,34.37804769926412,90.07048497207201,-9.929515027927991
FC MilsamiFC Astana,2.9,3.15,2.2,30.875473379371797,28.425038984183562,40.69948763644464,89.53887280017821,-10.461127199821789
FC Noah YerevanSliema Wanderers,1.66,3.55,4.5,54.45156452382575,25.46185834071852,20.08657713545572,90.38959710955075,-9.610402890449251
FCB MagpiesFC Copenhagen,26.0,12.0,1.01,3.459101546891946,7.494720018265883,89.04617843484218,89.9366402191906,-10.063359780809407
FK Mlada BoleslavFK Transinvest,1.1,7.2,15.5,81.71633594493666,12.484440213809767,5.7992238412535695,89.88796953943033,-10.11203046056967
Sumgayit FKFehervar FC Szekesfehervar,2.97,3.1,2.22,30.340704687334675,29.06835255528516,40.590942757380176,90.111892921384,-9.888107078616002
Tampereen IlvesFK Austria Wien,3.4,3.5,1.89,26.522593320235757,25.764804939657594,47.712601740106656,90.17681728880157,-9.823182711198427
Vilnius FK ZalgirisPafos FC,2.57,3.15,2.5,35.163314058627854,28.68879908910272,36.14788685226943,90.36971713067358,-9.630282869326422
Wisla KrakowSK Rapid,4.4,3.6,1.66,20.52197802197802,25.08241758241758,54.395604395604394,90.29670329670328,-9.703296703296715
AC Omonia NicosiaFC Torpedo Kutaisi,1.57,3.75,4.7,57.054529563148435,23.886829710438146,19.058640726413415,89.57561141414304,-10.42438858585696
Go Ahead EaglesSK Brann,2.27,3.55,2.57,39.639988008289926,25.34725993769525,35.01275205401484,89.98277277881813,-10.01722722118187
MFK RuzomberokTrabzonspor,4.9,4.1,1.51,18.381828978622327,21.96852731591449,59.649643705463184,90.0709619952494,-9.929038004750595
Zira FKDAC 1904 Dunajska Streda,2.42,3.1,2.67,37.2160572651571,29.05253502634844,33.731407708494444,90.06285858168017,-9.937141418319825
FC Zimbru ChisinauFC Ararat-Armenia,2.72,3.25,2.3,33.1177174250144,27.71698196801205,39.16530060697355,90.08019139603917,-9.919808603960831
Broendby IFKF Llapi,1.08,7.7,17.5,83.1964733339096,11.669115740340565,5.134410925749849,89.85219120062237,-10.147808799377628
CS Corvinul 1921 HunedoaraHNK Rijeka,4.7,3.65,1.61,19.20518979688547,24.729970423386767,56.06483977972776,90.26439204536172,-9.735607954638283
Djurgardens IFFC Progres Niederkorn,1.16,6.2,11.5,77.64178064291316,14.526526700932138,7.831692656154718,90.06446554577926,-9.935534454220743
F91 DudelangeHacken Gothenburg,5.8,4.4,1.4,15.477386934673367,20.402010050251253,64.12060301507537,89.76884422110552,-10.231155778894475
FC Banik OstravaFC Urartu Yerevan,1.25,5.0,9.0,72.0,18.0,10.0,90.0,-10.0
