Teams,Var1,Var2,Var3
ArgentinaMorocco,1.98,3.45,3.90
UzbekistanSpain,9.70,6.00,1.27
EgyptDominican Republic,1.16,8.20,14.50
GuineaNew Zealand,1.62,3.85,5.70
FC Struga Trim LumFC Pyunik Yerevan,2.20,3.20,2.92
Riga FCWKS Slask Wroclaw,2.47,3.25,2.52
IraqUkraine,5.20,3.75,1.68
JapanParaguay,1.81,3.80,4.30
FC Dinamo BatumiFK Decic Tuzi,1.38,4.30,6.70
PAOK ThessalonikiFK Borac Banja Luka,1.09,9.60,28.00
AEK AthensInter Club de Escaldes,1.02,10.00,33.00
PFC Ludogorets 1945 RazgradFC Dinamo Minsk,1.34,5.20,8.40
NK CeljeSK Slovan Bratislava,2.37,3.45,2.97
Cliftonville FCFK Auda Riga,2.85,3.30,2.16
FranceUSA,1.49,4.70,6.00
MaliIsrael,2.32,3.35,3.10
Girondins BordeauxSouthampton FC,10.50,6.50,1.17
Real Murcia CFNottingham Forest FC,1.37,4.80,6.00
Bayern Munich SRLJuventus Turin SRL,1.70,4.60,3.30
Malmo FF SrlVitesse Arnhem SRL,2.15,3.50,2.80
